source,target
25686,318967
25698,318967
25714,318967
25731,318967
25746,318967
25766,318967
25783,318967
26087,318967
26104,318967
26128,318967
26143,318967
26166,318967
26192,318967
26196,318967
26207,318967
26223,318967
26243,318967
26264,318967
26279,318967
26296,318967
26302,318967
26317,318967
26333,318967
26344,318967
26452,318967
26463,318967
26480,318967
26507,318967
26517,318967
26532,318967
26548,318967
26562,318967
26573,318967
26590,318967
26605,318967
26617,318967
26625,318967
26639,318967
26658,318967
26664,318967
26694,318967
34725,318967
34726,318967
34755,318967
34771,318967
34787,318967
34788,318967
34818,318967
34819,318967
34848,318967
34863,318967
34864,318967
34894,318967
34895,318967
34923,318967
